Name,Unit,Default,Description
areaPrepDarkRFDD,mm²,0,Area of Preprocessed Dark of RFDD.
areaPrepDarkRFDD_E,mm²,0,Area of Preprocessed Dark of RFDD_E.
areaPrepDarkRFH,mm²,0,Area of Preprocessed Dark of RFH.
areaPrepDarkRFL,mm²,0,Area of Preprocessed Dark of RFL.
areaPrepDarkRR,mm²,0,Area of Preprocessed Dark of RR.
areaPrepDarkRRDD,mm²,0,Area of Preprocessed Dark of RRDD.
areaPrepDarkTFB,mm²,0,Area of Preprocessed Dark of TFB.
areaPrepDarkTRB,mm²,0,Area of Preprocessed Dark of TRB.
areaPrepDarkTRBH,mm²,0,Area of Preprocessed Dark of TRBH.
areaPrepRFDD,mm²,0,Area of Preprocessed Video of RFDD.
areaPrepRFDD_E,mm²,0,Area of Preprocessed Video of RFDD_E.
areaPrepRFH,mm²,0,Area of Preprocessed Video of RFH.
areaPrepRFL,mm²,0,Area of Preprocessed Video of RFL.
areaPrepRR,mm²,0,Area of Preprocessed Video of RR.
areaPrepRRDD,mm²,0,Area of Preprocessed Video of RRDD.
areaPrepTFB,mm²,0,Area of Preprocessed Video of TFB.
areaPrepTRB,mm²,0,Area of Preprocessed Video of TRB.
areaPrepTRBH,mm²,0,Area of Preprocessed Video of TRBH.
areaSub1FiltBrightRFDD,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of RFDD
areaSub1FiltBrightRFH,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of RFH
areaSub1FiltBrightRFL,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of RFL
areaSub1FiltBrightTFB,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of TFB
areaSub1FiltDarkRFDD,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of RFDD
areaSub1FiltDarkRFH,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of RFH
areaSub1FiltDarkRFL,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of RFL
areaSub1FiltDarkTFB,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of TFB
areaSub1InedgeBrightRFDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RFDD
areaSub1InedgeBrightRFH,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RFH
areaSub1InedgeBrightRFL,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RFL
areaSub1InedgeBrightRR,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RR
areaSub1InedgeBrightRRDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RRDD
areaSub1InedgeBrightTFB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of TFB
areaSub1InedgeBrightTRB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of TRB
areaSub1InedgeBrightTRBH,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of TRBH
areaSub1InedgeDarkRFDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RFDD
areaSub1InedgeDarkRFH,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RFH
areaSub1InedgeDarkRFL,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RFL
areaSub1InedgeDarkRR,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RR
areaSub1InedgeDarkRRDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RRDD
areaSub1InedgeDarkTFB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of TFB
areaSub1InedgeDarkTRB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of TRB
areaSub1InedgeDarkTRBH,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of TRBH
areaSub1OutedgeBrightRFDD,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of RFDD
areaSub1OutedgeBrightRFH,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of RFH
areaSub1OutedgeBrightRFL,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of RFL
areaSub1OutedgeBrightRR,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of RR
areaSub1OutedgeBrightRRDD,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of RRDD
areaSub1OutedgeBrightTFB,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of TFB
areaSub1OutedgeBrightTRB,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of TRB
areaSub1OutedgeBrightTRBH,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Bright of TRBH
areaSub1OutedgeDarkRFDD,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of RFDD
areaSub1OutedgeDarkRFH,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of RFH
areaSub1OutedgeDarkRFL,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of RFL
areaSub1OutedgeDarkRR,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of RR
areaSub1OutedgeDarkRRDD,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of RRDD
areaSub1OutedgeDarkTFB,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of TFB
areaSub1OutedgeDarkTRB,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of TRB
areaSub1OutedgeDarkTRBH,mm²,0,Area of the 1th largest subblob-fragment of Outer Edge Dark of TRBH
areaSub1PrepBrightRFDD,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of RFDD
areaSub1PrepBrightRFH,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of RFH
areaSub1PrepBrightRFL,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of RFL
areaSub1PrepBrightRR,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of RR
areaSub1PrepBrightRRDD,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of RRDD
areaSub1PrepBrightTFB,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of TFB
areaSub1PrepBrightTRB,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of TRB
areaSub1PrepBrightTRBH,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Bright of TRBH
areaSub1PrepDarkRFDD,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of RFDD
areaSub1PrepDarkRFH,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of RFH
areaSub1PrepDarkRFL,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of RFL
areaSub1PrepDarkRR,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of RR
areaSub1PrepDarkRRDD,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of RRDD
areaSub1PrepDarkTFB,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of TFB
areaSub1PrepDarkTRB,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of TRB
areaSub1PrepDarkTRBH,mm²,0,Area of the 1th largest subblob-fragment of Preprocessed Dark of TRBH
areaSub2FiltBrightRFDD,mm²,0,Area of the 2th largest subblob-fragment of Filtered Bright of RFDD
areaSub2FiltBrightRFH,mm²,0,Area of the 2th largest subblob-fragment of Filtered Bright of RFH
areaSub2FiltBrightRFL,mm²,0,Area of the 2th largest subblob-fragment of Filtered Bright of RFL
areaSub2FiltBrightTFB,mm²,0,Area of the 2th largest subblob-fragment of Filtered Bright of TFB
areaSub2FiltDarkRFDD,mm²,0,Area of the 2th largest subblob-fragment of Filtered Dark of RFDD
areaSub2FiltDarkRFH,mm²,0,Area of the 2th largest subblob-fragment of Filtered Dark of RFH
areaSub2FiltDarkRFL,mm²,0,Area of the 2th largest subblob-fragment of Filtered Dark of RFL
areaSub2FiltDarkTFB,mm²,0,Area of the 2th largest subblob-fragment of Filtered Dark of TFB
areaSub2InedgeBrightRFDD,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of RFDD
areaSub2InedgeBrightRFH,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of RFH
areaSub2InedgeBrightRFL,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of RFL
areaSub2InedgeBrightRR,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of RR
areaSub2InedgeBrightRRDD,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of RRDD
areaSub2InedgeBrightTFB,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of TFB
areaSub2InedgeBrightTRB,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of TRB
areaSub2InedgeBrightTRBH,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Bright of TRBH
areaSub2InedgeDarkRFDD,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of RFDD
areaSub2InedgeDarkRFH,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of RFH
areaSub2InedgeDarkRFL,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of RFL
areaSub2InedgeDarkRR,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of RR
areaSub2InedgeDarkRRDD,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of RRDD
areaSub2InedgeDarkTFB,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of TFB
areaSub2InedgeDarkTRB,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of TRB
areaSub2InedgeDarkTRBH,mm²,0,Area of the 2th largest subblob-fragment of Inner Edge Dark of TRBH
areaSub2OutedgeBrightRFDD,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of RFDD
areaSub2OutedgeBrightRFH,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of RFH
areaSub2OutedgeBrightRFL,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of RFL
areaSub2OutedgeBrightRR,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of RR
areaSub2OutedgeBrightRRDD,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of RRDD
areaSub2OutedgeBrightTFB,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of TFB
areaSub2OutedgeBrightTRB,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of TRB
areaSub2OutedgeBrightTRBH,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Bright of TRBH
areaSub2OutedgeDarkRFDD,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of RFDD
areaSub2OutedgeDarkRFH,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of RFH
areaSub2OutedgeDarkRFL,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of RFL
areaSub2OutedgeDarkRR,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of RR
areaSub2OutedgeDarkRRDD,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of RRDD
areaSub2OutedgeDarkTFB,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of TFB
areaSub2OutedgeDarkTRB,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of TRB
areaSub2OutedgeDarkTRBH,mm²,0,Area of the 2th largest subblob-fragment of Outer Edge Dark of TRBH
areaSub2PrepBrightRFDD,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of RFDD
areaSub2PrepBrightRFH,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of RFH
areaSub2PrepBrightRFL,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of RFL
areaSub2PrepBrightRR,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of RR
areaSub2PrepBrightRRDD,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of RRDD
areaSub2PrepBrightTFB,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of TFB
areaSub2PrepBrightTRB,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of TRB
areaSub2PrepBrightTRBH,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Bright of TRBH
areaSub2PrepDarkRFDD,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of RFDD
areaSub2PrepDarkRFH,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of RFH
areaSub2PrepDarkRFL,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of RFL
areaSub2PrepDarkRR,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of RR
areaSub2PrepDarkRRDD,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of RRDD
areaSub2PrepDarkTFB,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of TFB
areaSub2PrepDarkTRB,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of TRB
areaSub2PrepDarkTRBH,mm²,0,Area of the 2th largest subblob-fragment of Preprocessed Dark of TRBH
areaSub3FiltBrightRFDD,mm²,0,Area of the 3th largest subblob-fragment of Filtered Bright of RFDD
areaSub3FiltBrightRFH,mm²,0,Area of the 3th largest subblob-fragment of Filtered Bright of RFH
areaSub3FiltBrightRFL,mm²,0,Area of the 3th largest subblob-fragment of Filtered Bright of RFL
areaSub3FiltBrightTFB,mm²,0,Area of the 3th largest subblob-fragment of Filtered Bright of TFB
areaSub3FiltDarkRFDD,mm²,0,Area of the 3th largest subblob-fragment of Filtered Dark of RFDD
areaSub3FiltDarkRFH,mm²,0,Area of the 3th largest subblob-fragment of Filtered Dark of RFH
areaSub3FiltDarkRFL,mm²,0,Area of the 3th largest subblob-fragment of Filtered Dark of RFL
areaSub3FiltDarkTFB,mm²,0,Area of the 3th largest subblob-fragment of Filtered Dark of TFB
areaSub3InedgeBrightRFDD,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of RFDD
areaSub3InedgeBrightRFH,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of RFH
areaSub3InedgeBrightRFL,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of RFL
areaSub3InedgeBrightRR,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of RR
areaSub3InedgeBrightRRDD,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of RRDD
areaSub3InedgeBrightTFB,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of TFB
areaSub3InedgeBrightTRB,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of TRB
areaSub3InedgeBrightTRBH,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Bright of TRBH
